Token.ID	Context	Variant	Recipient.lemma	Theme.lemma	Recipient.type	Theme.type	Recipient.cluster_number	cluster_combo	Recipient.medoid_label	Recipient.silhouette	Theme.cluster_number	Theme.medoid_label	Theme.silhouette	Recipient.medoid	Theme.medoid
dat-2757	A: Uh-huh. //B: I mean I think if I was in a bad accident and they gave me the option, I might say, yeah, you know. //A: # Go with it, huh [laughter]? #	ditransitive	me	option	P	N	1	myself-thrust	myself	0.13377228	0	thrust	0.3024909	myself	thrust
dat-2758	A: # Go with it, huh [laughter]? # //B: # give me an injection. But, # uh, //A: You think they should go back to crucifixion then [laughter]? //B: [Laughter] I don't know about that. Um, but, uh, you know, the electric	ditransitive	me	injection	P	N	1	myself-transfusion	myself	0.13377228	7	transfusion	0.6203157	myself	transfusion
dat-2759	A: But, uh, I've never been a big Madonna fan, but I do think if someone gave me a ticket, it'd be a really entertaining show. //B: Yeah, that's true.	ditransitive	me	ticket	P	N	1	myself-drainage	myself	0.13377228	2	drainage	0.059752513	myself	drainage
dat-2760	B: I think I do too. //A: Because someone might see something that you don't see. I mean, you know, they may have, they may have picked up on something that gave them that doubt, that, //B: Uh-huh.	ditransitive	them	doubt	P	N	1	myself-experience	myself	0.32372108	6	experience	0.39889342	myself	experience
dat-2761	well he didn't have any blacks, uh, you know, from his neck of the woods. //B: [Laughter]. //A: Well give me a break, you know. //B: He'd have to have his whole family up there for him to feel like he's got his peers or something, yeah.	ditransitive	me	break	P	N	1	myself-broadcast	myself	0.13377228	4	broadcast	0.46965617	myself	broadcast
dat-2762	lifting so she choice to take weight lifting, //A: [Laughter]. //B: over the regular gym, I mean, give me a break, I mean, the kids sit there and they, and they drink cokes and eat popcorn for, for lunch and, //A: And talk, yeah.	ditransitive	me	break	P	N	1	myself-broadcast	myself	0.13377228	4	broadcast	0.46965617	myself	broadcast
dat-2763	B: my kids are going to be hating me, //A: [Laughter]. //B: I'll give them a bike and say, //A: Yeah [laughter], yeah, right. //B: here's it so you can afford to pay the insurance,	ditransitive	them	bike	P	N	1	myself-pat	myself	0.32372108	3	pat	0.21107315	myself	pat
dat-2764	B: #And maybe a little more versatile# than anybody ever gave him credit for. //A: Right. //B: But, uh,	ditransitive	him	credit	P	N	1	myself-discount	myself	0.2585908	10	discount	0.4551688	myself	discount
dat-2765	A: Oh, okay, my my dog, last German Shepherd, it was a real chore trying to give him a bath too. And that was the thing I couldn't figure out because he would go in the lake, it wasn't like he didn't --	ditransitive	him	bath	P	N	1	myself-drainage	myself	0.2585908	2	drainage	0.135691	myself	drainage
dat-2766	B: And of course, it is motivation that is keeping me from really looking for that opportunity. //A: I think a lot of the times, if you have someone to, uh, work out with, or walk with, or something, it does give you that motivation. //B: Oh, yeah.	ditransitive	you	motivation	P	N	10	anything-experience	anything	0.28544724	6	experience	0.3579784	anything	experience
dat-2767	B: -- and the question is, who are my sheep, and the idea, do we go out and feed these people when they're hungry. //A: Well. Bless your enemies, if your enemy is hungry, feed him, if he, if he needs your, asks for your shirt, give him your coat also. So, if the, //B: (( )). //A: the, the, the South Vietnamese, they asked us to help them. Right? Is	ditransitive	him	coat	P	N	1	myself-pat	myself	0.2585908	3	pat	0.46321774	myself	pat
dat-2768	B: Well, now, the thing is [clicking] {pause}, yeah, they're cutting defense which is, you know, there are people out there working for defense contractors who are losing money. But I d-, I don't mind, because I think you'll, government is not there to give me a job. Government, [noise] the defense is there to defend our country and they do it for whatever, you know, they spend whatever money they need to [noise] to do that [ise]. But I don't want them to, to break the budget,	ditransitive	me	job	P	N	1	myself-access	myself	0.13377228	1	access	-0.08507059	myself	other
dat-2769	B: that's an important thing. We've got, we've got a lot of people [clicking] who are getting money [clicking] from the government for this, that, and the other thing and, uh, it would probably help if we could figure out how to get them to put money back into the system instead, you know. You take someone on welfare [clicking] and you give them a job and they're paying income taxes, all of a sudden you've changed it around and it's going in the other direction.	ditransitive	them	job	P	N	1	myself-access	myself	0.32372108	1	access	-0.08507059	myself	other
dat-2770	all for a year. //A: Uh-huh. //B: I believe in giving anything a chance. //A: Sure. //B: Uh, but I keep coming back to that one, so, I, that's kind of my favorite.	ditransitive	anything	chance	I	N	10	anything-experience	anything	0.528515	6	experience	0.13142924	anything	experience
dat-2771	A: every three to five days that I work overtime there, //B: Yeah. //A: they should give me one day. //B: Yeah. //A: But it should be a standard and, and not left up to either the whim or the	ditransitive	me	day	P	N	1	myself-minute	myself	0.13377228	8	minute	0.66545916	myself	minute
dat-2772	A: Yeah. Uh, very seld-, //B: But they give the guy a job in prison and make him pay his damn debt. //A: Yeah. They don't do that here. Course they pay them, but they don't, you don't, you or the insurance companies never see any of that money.	ditransitive	guy	job	N	N	14	man-access	man	0.35631275	1	access	-0.08507059	man	other
dat-2773	it, I'm not going to do this anymore [laughter]. //A: Right. //B: And then God gave me this dog, so [laughter]. //A: My dad's like that, he, uh, he had a beagle that he loved and, uh, when that beagle passed away, uh, he didn't want, he wasn't going to have another dog, there's no way,	ditransitive	me	dog	P	N	1	myself-pat	myself	0.13377228	3	pat	0.37014982	myself	pat
dat-2774	A: #coming out of the# T V that just doesn't make my day, you know. //B: Well it's so, I guess, I'm a real, I'm a realist, and so, when I watch movies like that, it's like this can not happen. So, I just don't enjoy it, you know, because it's just like, come on, give me a break.	ditransitive	me	break	P	N	1	myself-broadcast	myself	0.13377228	4	broadcast	0.46965617	myself	broadcast
dat-2775	B: What, what kind of heavy metal are we talking about? What, //A: We're talking about what they, what they call hard rock. //B: Okay, like, give me some examples. //A: Like, for example, let's see, uh, Bad Company, what, //B: Oh, well, Bad Cam-, Company's not bad, that's not,	ditransitive	me	example	P	N	1	myself-experience	myself	0.13377228	6	experience	0.019458879	myself	experience
dat-2776	basically in a closet. With no windows. They had, a, a table, or not a table, but a desk in this closet, and they had to sit in there by themselves. Well, parents were getting really angry about this, because they said, Why is my child being put in this closet. Well, how is that helping my child, you know. And, uh, the, the thing, you know, they said, Well, we're giving them isolation time and this helps them to think. [laughter] But a lot of kids, I mean, if a child has, uh, claustrophobia, I mean, that's just going to terrify him, you know and,	ditransitive	them	time	P	N	1	myself-minute	myself	0.32372108	8	minute	0.69093436	myself	minute
dat-2777	B: #You# know, I mean, I just and so many of them are done so poorly, //A: Yeah. //B: you know that, it just doesn't even give you the effect, I mean some of them are done good and they do scare you. But, um, so many of them are just done real, I don't know, I'm not really into those.	ditransitive	you	effect	P	N	10	anything-activity	anything	0.28544724	13	activity	0.37824363	anything	activity
dat-2778	B: uh, it was wonderful. I mean, it was just incredible how much simpler it is than what, you know, I guess we just all have this mind set that oh, this is so hard and we can't do this. And it's really not hard I was surprised at how very easy it was. I think most people just, uh, you know, automatically have their minds set against it and don't give it a chance, //A: #Yeah.# //B: #you know,# so,	ditransitive	it	chance	P	N	10	anything-experience	anything	0.5251231	6	experience	0.13142924	anything	experience
dat-2779	I'ers Against Drugs. And, you know, we're recycling aluminum cans up here and, uh, just what you would buy out of the machines and drink here and there was crushers out in all of the hallways you know, and that's, they use the money from that to fund this T I'ers Against Drugs Program. It's, you know, T I doesn't give them any money, all, everything is made from that. And they had talked about having a thing like, one Saturday a month, you could come and drop your aluminum cans off from home, you know, //B: Yeah.	ditransitive	them	money	P	N	1	myself-worth	myself	0.32372108	9	worth	0.121118724	myself	worth
dat-2780	B: So then he'd want to play that stuff, and I was like -- //A: Uh, //B: -- oh, that's giving me a headache [laughter]. //A: That's, uh, our son goes, you know, goes off into his room and turns his on. He's, he's not around much, eith-, either --	ditransitive	me	headache	P	N	1	myself-transfusion	myself	0.13377228	7	transfusion	0.55880165	myself	transfusion
dat-2781	B: Yeah. //A: it gives me a break. //B: Yeah, well t-, see that's, that's why I'm glad my wife did too, 'cause she worked either two to thre-, three days a week and that got her out of the house and yet she'd get to spend, you know, three or four days with ...	ditransitive	me	break	P	N	1	myself-broadcast	myself	0.13377228	4	broadcast	0.46965617	myself	broadcast
dat-2782	A: Well that sounds like that might be a fu-, fun place to visit then. //B: Yeah. //A: We'll have to give that a shot. Well, I tell you what, I guess, uh, I need to head out, but I, I appreciate, the, the conversation. //B: Yeah, well.	ditransitive	that	shot	D	N	10	anything-pat	anything	0.52010554	3	pat	0.19696781	anything	pat
dat-2783	get sick, or here's how you do the checks, you know. //B: Right. //A: One day I gave her the checkbook and I said, I'm not doing this anymore. You do it, you learn it, and I've been happy ever since. //B: Well, that's great. How about your,	ditransitive	her	checkbook	P	N	1	myself-discount	myself	0.3515005	10	discount	0.24552675	myself	discount
dat-2784	you know, they just have to take it. And I know -- //B: Uh-huh. //A: -- that's tough if you don't, uh, at least give it a shot. I've got girls, daughters, and I've always said I'd teach them. And my, my one daughter was fairly interested. And I really haven't gotten around to, I learned because I, I just, uh, learned, you know and,	ditransitive	it	shot	P	N	10	anything-pat	anything	0.5251231	3	pat	0.19696781	anything	pat
dat-2785	A: That's good. I mean, people are all different. //B: Yeah, yeah. //A: I, I wonder if they should give them a test, or at least maybe not take their licen-, maybe give them a refresher driving course, and just to see how well they are every five years. //B: I saw that on TWENTY TWENTY.	ditransitive	them	test	P	N	1	myself-transfusion	myself	0.32372108	7	transfusion	0.41214678	myself	transfusion
dat-2786	B: {Long pause} {Voices in background} Thank you. I think we might have just screwed up the computer but we'll find out. //A: Oh, no, ((yeah, right)), they give us ten minutes, uh.	ditransitive	us	minute	P	N	1	myself-minute	myself	0.3100408	8	minute	0.68875045	myself	minute
dat-2787	how much money I have each month. The scary thing is, as far as long term, I don't have anything. I don't know if you have an I R A or, uh, you know, and I've got two girls, also, and I haven't saved anything for their college and, //A: Yeah, that's, you need to do that. I'll, I'll, I'll give you a hint. I don't know if you're a ta-, a radio talk, uh, person listener. Do you listen to radio talk shows? //B: Sometimes I have.	ditransitive	you	hint	P	N	10	anything-activity	anything	0.28544724	13	activity	0.33976015	anything	activity
dat-2789	A: But he says Social Security, you don't need to put that down there. Which I thought was surprising. So maybe there's something along that same line where, you know, in all these financial, uh, applications that you make out, you don't have to put all that stuff down there. It would be nice to know what's, what was, of course, of course, they could say, well, I can't give you a card, and you could say, fine, but, you know, some things will be private, you know, but he said just put N A and he said usually you'll get approved anyway because they just want your money [laughter], they want your card.	ditransitive	you	card	P	N	10	anything-discount	anything	0.28544724	10	discount	0.2939797	anything	discount
dat-2790	A: I don-, I don't miss the cold at all, but I don't mind the heat. //B: Yeah. Yeah. I wouldn't mind some, you know, like, I guess, after awhile in the summer when it hits, I guess about October, and you get a few cool days. I don't mind that because it kind of gives you some relief. //A: Yeah. //B: #You know, that's nice#.	ditransitive	you	relief	P	N	10	anything-access	anything	0.28544724	1	access	0.32565647	anything	access
dat-2791	B: and it's time consuming. So, //A: So, it keeps you in the company, huh? //B: That's right, you know, it gives me a paycheck, you know, it's only like the works only, you know, three weeks. Goes for like three to four weeks three times a year, //A: Uh-huh.	ditransitive	me	paycheck	P	N	1	myself-discount	myself	0.13377228	10	discount	0.37908173	myself	discount
dat-2792	hunting, she could care less about that. //B: Yeah. //A: She's does a little fishing, but, you know, golf would give her the exercise, she'd be outside, give her something to do that we both enjoy, so. //B: Yeah, it, it sounds like we've got real similar situations. //A: Yeah.	ditransitive	her	exercise	P	N	1	myself-transfusion	myself	0.3515005	7	transfusion	0.34957722	myself	transfusion
dat-2793	A: Uh, my husbands retired. But he's not a gardener. He, he, he's been helping me more, but he really isn't, uh, real crazy about gardening. //B: Uh, I, I really enjoy it, it gives me time outdoors, //A: Uh. //B: and, you know, I'm a golfer, but, it gives me time outdoors, and time around my house, //A: Uh-huh. Uh-huh.	ditransitive	me	time	P	N	1	myself-minute	myself	0.13377228	8	minute	0.69093436	myself	minute
dat-2794	A: Uh, my husbands retired. But he's not a gardener. He, he, he's been helping me more, but he really isn't, uh, real crazy about gardening. //B: Uh, I, I really enjoy it, it gives me time outdoors, //A: Uh. //B: and, you know, I'm a golfer, but, it gives me time outdoors, and time around my house, //A: Uh-huh. Uh-huh.	ditransitive	me	time	P	N	1	myself-minute	myself	0.13377228	8	minute	0.69093436	myself	minute
dat-2795	A: Um, uh, I'll give it a try. I've got my Texan stereotypes in place. //B: Well, I'm not your stereotypical Texan. I was raised around guns, hunting. //A: Uh-huh.	ditransitive	it	try	P	N	10	anything-one	anything	0.5251231	14	one	0.36916998	anything	one
dat-2796	A: Uh-huh, uh-huh. //B: instead of me having to think about it so much. //A: Right. You can just trust someone else to give you full exercise and all you do is follow along and enjoy yourself. //B: Yeah, yeah. But, I'm like you, I also, um, like to participate in, uh, things like, well, we just went to the, uh, Myererson Symphony Run this past	ditransitive	you	exercise	P	N	10	anything-transfusion	anything	0.28544724	7	transfusion	0.34957722	anything	transfusion
dat-2797	A: Uh-huh. Yeah, I think it would be that. When they say this proposal, is this something that they're just suggesting, or are they actually, why, why, why did they call it a proposal, that, //B: Oh, I think they just gave it a title -- //A: Uh-huh. //B: -- but is this not something that's, um, in legislation or --	ditransitive	it	title	P	N	10	anything-list	anything	0.5251231	12	list	-0.20071034	anything	other
dat-2798	far as diplomacy is concerned [breathing]. I think it's been a good, a good positive direction for uh, the Soviets as far as Yeltsin is concerned. You know, he was, uh, allowed to, what, wh-, in his, in the Congress they, they gave him more power as far as his republic in Russia is concerned, which is, gives him more power overall, which I think is a good sign that there will be some, you know, politically speaking, you know, he's going to have more power, [breathing], and I think it's a step in the right direction. I think Gorbachev realizes that he's got a, [breathing] a major uh, uh, power figure, you know, competing against him, and I think it's going to be pretty close to	ditransitive	him	power	P	N	1	myself-thrust	myself	0.2585908	0	thrust	0.012363042	myself	thrust
dat-2799	A: I wanted him to win best actor on top of it, he was, //B: Yeah, oh. //A: Like I said, I wouldn't given the supporting actresses either one. //B: Yeah. //A: But even though they were okay, the girl in it, they, somebody made an	ditransitive	actress	one	N	I	5	husband-one	husband	0.1288998	14	one	0.6461798	husband	one
dat-2800	A: That, well it can be. It, it really kind of depends on, on, um, what they were, you know, what they were looking for. In other words, if, if in Spring cra-, training they were looking at all their kids, like a lot of them do, um, then it really doesn't give you any indication. But if they were, uh, playing the people that they're going to play, then that might be pretty good indication, so, you know, it's, it's not a great indication because there have been teams that have just, you know, come out and just won all kinds of games in Spring crani-, training and then gone on a, you know, fourteen game losing	ditransitive	you	indication	P	N	10	anything-activity	anything	0.28544724	13	activity	0.2911286	anything	activity
dat-2801	A: Right [laughter]. //B: that, uh, I have, you know, the car's in pretty good shape enough to last through the winter and, uh, then springtime I usually end up giving them, the, uh, a tune-up and make sure that they're running well, and, uh, you know, it's like I had the muffler go out on my, on my car, shortly before it was required to go, in Maryland they have, uh, emission tests.	ditransitive	them	tune-up	P	N	1	myself-discount	myself	0.32372108	10	discount	0.20411436	myself	discount
dat-2802	A: Oh, really? //B: and, uh, it was all from taking the right vitamins and things that, that give you the strength, and, of course, doing Isometric exercises, uh, together they both exercised about five minutes a day, //A: Really?	ditransitive	you	strength	P	N	10	anything-experience	anything	0.28544724	6	experience	0.32959908	anything	experience
dat-2804	A: -- they start enforcing the, uh, {sounds like: t, t, t, t, t} uh, start giving more people death sentences. That's the only thing [laughter] I can think of.	ditransitive	people	sentences	N	N	8	people-NA	people	0.36882615	NA	NA	NA	people	NA
dat-2805	A: I, I, uh, when I get to people like that, I wish, I think the company should just say, uh, we're not giving you any more until you pay this off.	ditransitive	you	more	P	I	10	anything-worth	anything	0.28544724	9	worth	0.45416528	anything	worth
dat-2806	A: Because then they'll, or you have a prescription. //B: Yeah, you know what, too, whenever they did that for me, like, you know, we had to take, they did it blood and urine, and, uh, they, they gave you a paper right there and they said if you were out drinking or if you went out for a good time last night go ahead and write down that you did have beer or you did have alcohol or if you are on medicine, go ahead and write down what medicine you are on.	ditransitive	you	paper	P	N	10	anything-list	anything	0.28544724	12	list	0.07737114	anything	list
dat-2807	A: Ye-, i-, yeah, I wouldn't want to see it go that far, //B: [Laughter]. //A: you know, give them due process and then, and then, let them, //B: And then do it, huh? [laughter]. //A: and then let them ((appeal)) yeah, then you'd get, yeah,	ditransitive	them	process	P	N	1	myself-thrust	myself	0.32372108	0	thrust	0.029487379	myself	thrust
dat-2808	A: Yeah, because yo-, because it might give you, uh, an insight, you know, uh, you have to vote. I've always, I've always voted, I even though sometimes it's hard to choose between whose running, um. //B: Right, well wasn't it, I know, I can't remember, i-, thi-, I guess it was	ditransitive	you	insight	P	N	10	anything-experience	anything	0.28544724	6	experience	0.3666585	anything	experience
dat-2809	B: Yeah. //A: So, you just stick your credit card in there and then it pumps whatever it pumps and it adds it all up and it gives you a ticket and off you go, //B: Yeah. //A: so, you don't even have to go in to see the teller anymore.	ditransitive	you	ticket	P	N	10	anything-drainage	anything	0.28544724	2	drainage	0.059752513	anything	drainage
dat-2810	he used, //A: Right. //B: and he was coherent enough to tell the guy give me the money or I'm going to kill you. //A: Yeah.	ditransitive	me	money	P	N	1	myself-worth	myself	0.13377228	9	worth	0.121118724	myself	worth
dat-2811	A: Uh-huh. //B: If a person has done a crime so bad that the jury gives them the death penalty, of, the Supreme Court says we've got to give them one appeal, okay, I agree, //A: Okay, one. //B: give them one appeal. //A: Right. But that's all. //B: When that appeal fails within thirty days, execution of sentence.	ditransitive	them	appeal	P	N	1	myself-jurisdiction	myself	0.32372108	5	jurisdiction	0.6423237	myself	jurisdiction
dat-2812	A: Uh-huh. //B: If a person has done a crime so bad that the jury gives them the death penalty, of, the Supreme Court says we've got to give them one appeal, okay, I agree, //A: Okay, one. //B: give them one appeal. //A: Right. But that's all. //B: When that appeal fails within thirty days, execution of sentence.	ditransitive	them	appeal	P	N	1	myself-jurisdiction	myself	0.32372108	5	jurisdiction	0.6423237	myself	jurisdiction
dat-2813	A: -- and she, and we're all short, the whole family's short, so she said, Well Sam, if he wears cowboys that gives him another inch and it just may be,	ditransitive	him	inch	P	N	1	myself-minute	myself	0.2585908	8	minute	0.62878513	myself	minute
dat-2814	B: and this guy gave me this deal, you know, I told him how much I wanted to pay, and [breathing] for every fifty dollars he'd have to go in and check with the boss and then I'd have to sign something saying that if he could get this rate, uh, we would go ahead and buy. Uh, uh, if he could get this rate I promised to buy and I left there on a Saturday afternoon just totally	ditransitive	me	deal	P	N	1	myself-discount	myself	0.13377228	10	discount	0.39708263	myself	discount
dat-2815	A: And we had to vote on, on that versus the Friday after Thanksgiving because we didn't get that day then. And I always felt that it wasn't a religious motive that gave us Good Friday. The, the, the employees voted for Good Friday. It was just that New Years Day to Memorial Day was such a long stretch without a holiday, it was just nice to put one in there in the Spring [laughter].	ditransitive	us	friday	P	N	1	myself-broadcast	myself	0.3100408	4	broadcast	0.12860757	myself	broadcast
dat-2816	A: Troy Aikman looks like to be, looks like he's got the star qualities for a quarterback. //B: Yeah, if they'll just give him some protection and don't kill him, before he, //A: Yeah, well I was surprised at, at the, the way they drafted last year. The didn-, really didn't go for the, uh, big offensive lineman, or the defensive	ditransitive	him	protection	P	N	1	myself-access	myself	0.2585908	1	access	0.1901663	myself	access
dat-2817	A: Yeah, I just sort of hated it from that point on. Well, //B: Well, I guess, I would love to play basketball, but, but I, I don't think I'd have the wind for that. I guess of all the sports that probably gives you more exercise than any, any sport there is. //A: Yeah. It's, that's a tough one to play. I --	ditransitive	you	exercise	P	N	10	anything-transfusion	anything	0.28544724	7	transfusion	0.34957722	anything	transfusion
dat-2818	B: [Laughter]. //A: [Laughter] Should we give it a try? //B: I guess we might as well [laughter].	ditransitive	it	try	P	N	10	anything-one	anything	0.5251231	14	one	0.36916998	anything	one
dat-2819	A: I'm mostly into, uh, [throat_clearing], American gold and silver dollars and stuff like that. //B: Oh, very interesting. Um, over the years, of course, by my grandparents used to give me silver dollars so I've got a few of those, //A: Uh-huh. //B: tucked away but, um, your Greek and Roman coins m-, you know, if, if	ditransitive	me	dollar	P	N	1	myself-worth	myself	0.13377228	9	worth	0.4736656	myself	worth
dat-2820	A: Well, and also in a sense, they're giving you a loan for a month so that -- //B: Yeah. //A: -- you know, if I were smarter, I would have that same amount in savings	ditransitive	you	loan	P	N	10	anything-discount	anything	0.28544724	10	discount	0.51247454	anything	discount
dat-2821	A: #But anyway,# got lots of just wonderful reviews and I had heard that it had violence in it but I thought, well, I'll go give it a try. And the first five minutes of that movie were so disgusting that I went and got my money back.	ditransitive	it	try	P	N	10	anything-one	anything	0.5251231	14	one	0.36916998	anything	one
dat-2822	know, deal like a business -- //B: Uh-huh. //A: -- and, uh, get things in quantity that will, uh, y-, give them a discount. //B: #Right.# //A: #They ought to# pay their bills on time. One thing the government does is,	ditransitive	them	discount	P	N	1	myself-discount	myself	0.32372108	10	discount	0.49961916	myself	discount
dat-2823	B: #That, uh, you# shouldn't criticize the man -- //A: No. //B: -- for giving us one perspective. Uh, //A: That, that's right, I think so. And, and I guess when it comes to, um, to magazines, I don't read, I used to when I was younger, I subscribed to TIME and U S NEWS AND WORLD REPORT. I, I have seemed to slide away from that and	ditransitive	us	perspective	P	N	1	myself-experience	myself	0.3100408	6	experience	0.4351549	myself	experience
dat-2824	[laughter]. //B: [Laughter] Yeah. //A: We were giving them a bath about every other da-. (( )) bath at least once a day. But they were so horrible. //B: Yeah.	ditransitive	them	bath	P	N	1	myself-drainage	myself	0.32372108	2	drainage	0.135691	myself	drainage
dat-2826	with and they can, they can see a potential for a problem even if your record is good. //A: Yeah, well my insurance agent told me that, uh, when, when I, uh bought a new car, or whe-, more specifically when I bought my Honda, [laughter] to give him a call because then he wou-, he would make me a good deal on an insurance policy. //B: [Laughter] Caus-, well that's good.	ditransitive	him	call	P	N	1	myself-broadcast	myself	0.2585908	4	broadcast	0.30540553	myself	broadcast
dat-2827	A: we had some in Virginia, and they were real hard to keep up with, but seems like they like the Texas climate better. //B: Yeah, yeah, as, as long as you give it, uh, good drainage and, uh, lot of, uh, oh, [laughter] some, some plant food once a month. //A: Right, yeah. We built up our, we built up boxes and put them in that so that they would drain, because our soil is so bad {pause} where I live. Do	ditransitive	it	drainage	P	N	10	anything-drainage	anything	0.5251231	2	drainage	0.4065452	anything	drainage
dat-2828	B: I don't think that's good. //A: It's incredible that, uh, that they have to do that. I mean some of the, the schools give you a break, they give the students a break where they can take their exams when they get back from, from a tournament, //B: Uh-huh.	ditransitive	students	break	N	N	NA	NA-broadcast	NA	NA	4	broadcast	0.46965617	NA	broadcast
dat-2829	B: [Laughter] So, I don't know. It could just be rumors that are just spread around. //A: There are not too many places, uh, that do testing like that for the government, uh, uh, where the government gives them full rein, //B: Uh-huh. //A: to trust the results.	ditransitive	them	rein	P	N	1	myself-activity	myself	0.32372108	13	activity	-0.13234001	myself	other
dat-2830	A: And profit sharing is something we don't have a lot of control over. //B: # Well. # //A: # But # it seems that the company is going out of their way to not give us profit sharing.	ditransitive	us	profit-sharing	P	N	1	myself-discount	myself	0.3100408	10	discount	0.36510235	myself	discount
dat-2831	B: I don't think that's good. //A: It's incredible that, uh, that they have to do that. I mean some of the, the schools give you a break, they give the students a break where they can take their exams when they get back from, from a tournament, //B: Uh-huh.	ditransitive	you	break	P	N	10	anything-broadcast	anything	0.28544724	4	broadcast	0.46965617	anything	broadcast
dat-2832	A: Waterfront property here at Love Canal, you know. //B: Yeah. //A: But, you know, critically acclaimed. Oh, good grief. give me a break. //B: [Laughter]. //A: That's wh-, I mean, there's a lot of reasons why I don't go to movies.	ditransitive	me	break	P	N	1	myself-broadcast	myself	0.13377228	4	broadcast	0.46965617	myself	broadcast
dat-2833	A: Why not? //B: Really. //A: Hey, if T I wants to give me five bucks a phone call, that's okay. //B: Sure, sure. //A: You have to talk to all kinds of neat people all over the place.	ditransitive	me	buck	P	N	1	myself-worth	myself	0.13377228	9	worth	0.29796824	myself	worth
dat-2834	A: Well, I'm, I'm a struggling law student, //B: Oh [laughter]. //A: and I, the reason I like it is because they give you good law in there. //B: Do they? //A: Yeah, it's not like these other programs where they just make up anything	ditransitive	you	law	P	N	10	anything-jurisdiction	anything	0.28544724	5	jurisdiction	0.44562992	anything	jurisdiction
dat-2835	B: No, there, uh, well, let's see, I ((never use)) thought about football too much yet. //A: Yeah, me either. It's kind of like, they, they gave me the topic and I'm, like, football, jeez it's been a long time. //B: Yeah, right, uh, uh,	ditransitive	me	topic	P	N	1	myself-experience	myself	0.13377228	6	experience	0.10014238	myself	experience
dat-2836	science. //B: Exactly. //A: You know, I mean give me a break, that's, that's, that's bogus. //B: Right, right. Well and, uh, you know, one thing my wife and I've talked about, i-, are, uh, private schools.	ditransitive	me	break	P	N	1	myself-broadcast	myself	0.13377228	4	broadcast	0.46965617	myself	broadcast
dat-2837	A: #I mean,# even, even the greedy kids that we've got now ... //B: Oh god, you go to the mall and you see, you know, fourteen year old kids flaunting money, because the parents give them money to go down and play video games all night, you know -- //A: I know. //B: -- for what. //A: I know. //B: give me the money and I'll, I'll teach them something good [laughter]. //A: Well, you know, you know why they do it is so they can get them out of the house.	ditransitive	me	money	P	N	1	myself-worth	myself	0.13377228	9	worth	0.121118724	myself	worth
dat-2838	B: Yeah, which is good for them, but on the other hand, we kind of lose out. //A: Yeah, it's terrible for us. //B: I think that if, uh, young people had service to the country might give them more ambition. //A: Yeah.	ditransitive	them	ambition	P	N	1	myself-thrust	myself	0.32372108	0	thrust	0.24447858	myself	thrust
dat-2839	A: Uh-huh. //B: you know, because I didn't authorize anything and, so, he went and got his manager and the manager came out and says, I'll give you the parts at cost, I'll give you the labor for a hundred dollars and so, for two hundred fifty dollars we'll do it all for you. //A: Oh, really?	ditransitive	you	labor	P	N	10	anything-access	anything	0.28544724	1	access	0.39864975	anything	access
dat-2840	A: Uh-huh. //B: you know, because I didn't authorize anything and, so, he went and got his manager and the manager came out and says, I'll give you the parts at cost, I'll give you the labor for a hundred dollars and so, for two hundred fifty dollars we'll do it all for you. //A: Oh, really?	ditransitive	you	parts	P	N	10	anything-NA	anything	0.28544724	NA	NA	NA	anything	NA
dat-2841	for them -- //B: Uh-huh. //A: -- so the, they give you more allowances, more dependent allowances for that. But, uh, you know, I understand what you're, where you're coming from with the, //B: Yeah. Now, the other side of the question is about are we getting what	ditransitive	you	allowance	P	N	10	anything-discount	anything	0.28544724	10	discount	0.22731811	anything	discount
dat-2842	A: Oh sure, and, and, they could not give him the nomination. //B: True [dishes].	ditransitive	him	nomination	P	N	1	myself-broadcast	myself	0.2585908	4	broadcast	0.102967136	myself	broadcast
dat-2843	B: Yeah, that's true, that's true. //A: And I think Bush has turned out to be a lot better President than people gave him credit for. //B: I, I must admit, I'm, I'm, I, I still find him a little uninspiring. He, he seems like a reasonably competent,	ditransitive	him	credit	P	N	1	myself-discount	myself	0.2585908	10	discount	0.4551688	myself	discount
dat-2844	B: -- Okay. Sure. Right. //A: Charge fifteen. Keep moving. //B: Yeah, why not. give it fancy name and put a high price tag on it. //A: As long as it's French. //B: It's probably, it's probably Campbells or something.	ditransitive	it	name	P	N	10	anything-list	anything	0.5251231	12	list	-0.11525875	anything	other
dat-2845	she's heavier. When I first got her, I mean, Sheba was just a little tiny thing, got her at ten weeks and, and Kitty Cat took it upon herself to train her. And she, and Kitty Cat would jump all over her and beat her up and all you account hear is Sheba you, know, [meow] all the time. Well, now she's bigger than Kitty Cat, and she's giving Kitty Cat some pay back. //A: She pays Kitty Cat back for all the hassle. //B: That's right. Kitty Cat, they will be playing and Kitty Cat will jump on	ditransitive	kitty	payback	N	N	7	mother-thrust	mother	0.26826546	0	thrust	-0.1285989	mother	other
dat-2846	B: Uh-huh. //A: Um, and I, I really had a racket going because, uh, my paycheck was being, uh, electronically deposited here in the states. And the bank that I banked with, I could write them a check on an American bank and they would give me instant credit for it, //B: #Uh-huh.#	ditransitive	me	credit	P	N	1	myself-discount	myself	0.13377228	10	discount	0.4551688	myself	discount
